Date,Year,Month,Latitude,Longitude,Precipitation_mm_per_day,Temperature_C,Temperature_Max_C,Temperature_Min_C,Humidity_Percent,Wind_Speed_ms,Pressure_kPa,Cloud_Cover_Percent
202003,2020,3,16.4333,-98.6,0.0,28.45,34.14,23.86,58.89,2.45,99.35,19.43
202004,2020,4,16.4333,-98.6,0.22,28.93,35.61,24.26,57.38,2.36,99.23,28.36
202005,2020,5,16.4333,-98.6,0.54,29.59,35.64,24.63,57.08,2.41,99.15,40.45
202006,2020,6,16.4333,-98.6,5.44,28.47,36.17,24.48,71.65,2.44,99.18,77.69
202007,2020,7,16.4333,-98.6,6.24,28.05,32.8,24.61,76.03,2.12,99.23,73.61
202008,2020,8,16.4333,-98.6,15.95,27.32,33.07,24.18,81.54,2.36,99.21,81.31
202009,2020,9,16.4333,-98.6,10.46,26.87,31.2,23.69,83.5,2.14,99.18,78.84
202010,2020,10,16.4333,-98.6,4.54,26.95,32.58,22.37,80.22,2.06,99.14,66.1
202011,2020,11,16.4333,-98.6,0.57,27.08,33.43,21.16,69.43,2.01,99.24,34.45
202012,2020,12,16.4333,-98.6,0.53,26.73,32.67,23.25,69.39,1.84,99.36,35.96
202013,2020,13,16.4333,-98.6,3.73,27.8,36.17,21.16,69.1,2.18,99.25,48.98
202101,2021,1,16.4333,-98.6,0.1,26.98,33.33,21.81,65.14,1.86,99.32,44.3
202102,2021,2,16.4333,-98.6,0.12,26.25,33.36,20.18,62.46,2.21,99.3,19.2
202103,2021,3,16.4333,-98.6,0.09,27.56,34.06,22.86,58.59,2.14,99.31,20.89
202104,2021,4,16.4333,-98.6,0.07,28.73,36.2,23.95,55.98,2.54,99.13,35.66
202105,2021,5,16.4333,-98.6,2.76,29.25,35.25,24.95,63.93,2.43,99.2,55.21
202106,2021,6,16.4333,-98.6,12.5,27.35,32.31,23.79,79.86,2.35,99.2,89.42
202107,2021,7,16.4333,-98.6,8.22,27.6,33.75,24.41,79.44,2.0,99.32,73.67
202108,2021,8,16.4333,-98.6,11.73,26.92,31.74,23.79,83.63,2.23,99.26,83.12
202109,2021,9,16.4333,-98.6,12.48,27.01,32.81,24.2,82.28,1.93,99.22,81.78
202110,2021,10,16.4333,-98.6,7.36,27.24,32.59,24.3,82.39,2.01,99.19,60.77
202111,2021,11,16.4333,-98.6,0.22,26.39,31.4,20.97,70.92,1.68,99.36,23.13
202112,2021,12,16.4333,-98.6,0.0,27.09,32.69,22.17,68.25,1.78,99.32,16.29
202113,2021,13,16.4333,-98.6,4.66,27.37,36.2,20.18,71.13,2.1,99.26,50.46
202201,2022,1,16.4333,-98.6,0.31,27.03,33.89,22.14,63.87,2.04,99.4,23.74
202202,2022,2,16.4333,-98.6,0.02,27.67,34.64,23.19,61.37,2.2,99.38,25.13
202203,2022,3,16.4333,-98.6,0.03,27.84,35.16,22.6,59.11,2.21,99.29,21.81
202204,2022,4,16.4333,-98.6,0.48,28.65,35.21,23.17,57.01,2.53,99.13,29.15
202205,2022,5,16.4333,-98.6,1.96,28.95,36.13,24.11,61.18,2.57,99.12,57.9
202206,2022,6,16.4333,-98.6,10.44,27.0,32.54,23.87,79.34,2.54,99.18,82.87
202207,2022,7,16.4333,-98.6,7.77,27.59,32.86,24.25,80.39,2.22,99.28,74.6
202208,2022,8,16.4333,-98.6,6.97,27.38,33.16,23.82,79.71,1.92,99.25,75.18
202209,2022,9,16.4333,-98.6,18.27,26.68,31.63,24.24,85.42,2.65,99.1,86.94
202210,2022,10,16.4333,-98.6,4.9,26.86,32.74,23.15,81.9,2.02,99.22,62.36
202211,2022,11,16.4333,-98.6,0.33,26.89,32.42,23.46,78.07,1.78,99.24,36.46
202212,2022,12,16.4333,-98.6,0.09,26.75,32.7,22.67,64.53,1.76,99.35,22.12
202213,2022,13,16.4333,-98.6,4.3,27.44,36.13,22.14,71.03,2.2,99.24,49.96
202301,2023,1,16.4333,-98.6,0.0,27.11,33.79,22.11,61.67,2.05,99.4,20.46
202302,2023,2,16.4333,-98.6,0.0,27.61,33.59,22.77,59.48,2.35,99.35,24.67
202303,2023,3,16.4333,-98.6,0.02,27.78,35.07,22.84,61.24,2.34,99.28,19.64
202304,2023,4,16.4333,-98.6,0.63,28.84,34.55,24.09,60.99,2.51,99.15,25.49
202305,2023,5,16.4333,-98.6,2.36,30.22,36.77,25.32,63.01,2.45,99.11,47.5
202306,2023,6,16.4333,-98.6,3.85,29.67,36.32,25.49,71.3,2.49,99.07,56.57
202307,2023,7,16.4333,-98.6,3.71,29.17,35.71,23.37,73.74,2.2,99.25,70.54
202308,2023,8,16.4333,-98.6,6.41,28.65,35.0,25.16,77.6,2.23,99.17,74.39
202309,2023,9,16.4333,-98.6,3.53,28.66,34.82,25.03,77.92,2.12,99.16,60.93
202310,2023,10,16.4333,-98.6,8.47,27.64,32.8,24.53,82.02,2.25,99.08,80.27
202311,2023,11,16.4333,-98.6,2.59,28.02,33.35,23.2,73.58,1.91,99.15,47.4
202312,2023,12,16.4333,-98.6,0.11,27.46,33.74,23.04,67.72,1.74,99.29,42.76
202313,2023,13,16.4333,-98.6,2.66,28.4,36.77,22.11,69.25,2.22,99.21,47.74
202401,2024,1,16.4333,-98.6,0.08,27.74,34.23,22.48,63.99,1.99,99.33,28.05
202402,2024,2,16.4333,-98.6,0.15,27.32,33.17,22.91,66.49,2.65,99.32,28.47
202403,2024,3,16.4333,-98.6,0.01,27.55,34.77,21.41,59.53,2.26,99.22,16.48
202404,2024,4,16.4333,-98.6,0.08,28.88,35.11,23.37,57.5,2.36,99.2,18.91
202405,2024,5,16.4333,-98.6,0.21,29.94,37.05,23.92,60.37,2.43,99.01,41.91
202406,2024,6,16.4333,-98.6,4.28,28.67,35.82,24.55,72.29,2.67,99.02,79.48
202407,2024,7,16.4333,-98.6,5.51,28.99,35.35,24.83,73.72,1.89,99.24,74.1
202408,2024,8,16.4333,-98.6,7.05,28.17,33.19,24.47,79.32,1.97,99.32,76.32
202409,2024,9,16.4333,-98.6,17.44,27.68,32.83,24.46,83.44,2.28,99.03,87.06
202410,2024,10,16.4333,-98.6,3.68,27.41,33.7,21.59,79.24,1.89,99.21,59.62
202411,2024,11,16.4333,-98.6,0.5,26.98,31.47,21.44,80.44,1.99,99.15,41.62
202412,2024,12,16.4333,-98.6,0.26,26.86,33.15,22.13,65.11,1.79,99.38,37.18
202413,2024,13,16.4333,-98.6,3.26,28.02,37.05,21.41,70.1,2.18,99.2,49.13
202001,2020,1,16.5,-97.5,0.17,21.7,32.36,11.8,62.24,1.86,89.82,23.67
202002,2020,2,16.5,-97.5,0.0,22.86,33.77,13.47,57.52,2.01,89.79,21.46
202003,2020,3,16.5,-97.5,0.0,23.95,34.84,14.73,57.87,2.23,89.81,17.68
202004,2020,4,16.5,-97.5,0.2,25.39,36.11,17.05,54.33,2.17,89.72,31.97
202005,2020,5,16.5,-97.5,0.6,25.48,36.17,18.03,58.18,1.92,89.68,46.77
202006,2020,6,16.5,-97.5,5.35,23.67,33.96,17.81,73.02,1.73,89.68,80.87
202007,2020,7,16.5,-97.5,4.6,23.02,30.88,17.44,78.71,1.37,89.72,77.39
202008,2020,8,16.5,-97.5,9.8,22.29,30.56,17.0,83.31,1.38,89.68,83.95
202009,2020,9,16.5,-97.5,6.12,21.7,28.06,15.82,85.43,1.25,89.66,80.97
202010,2020,10,16.5,-97.5,5.37,21.27,28.33,13.32,81.69,1.38,89.63,61.97
202011,2020,11,16.5,-97.5,0.28,20.78,28.73,12.86,75.33,1.93,89.72,39.19
202012,2020,12,16.5,-97.5,0.43,20.73,31.36,12.33,70.94,1.56,89.81,35.73
202013,2020,13,16.5,-97.5,2.76,22.73,36.17,11.8,69.92,1.73,89.73,50.2
202101,2021,1,16.5,-97.5,0.07,21.46,32.55,12.34,64.83,1.58,89.76,44.24
202102,2021,2,16.5,-97.5,0.06,21.6,33.24,11.11,58.2,1.97,89.71,17.84
202103,2021,3,16.5,-97.5,0.03,23.32,34.81,13.92,56.13,2.1,89.74,15.63
202104,2021,4,16.5,-97.5,0.3,24.54,35.42,15.96,54.23,2.28,89.62,35.55
202105,2021,5,16.5,-97.5,2.48,24.25,33.75,17.77,68.86,1.88,89.71,62.35
202106,2021,6,16.5,-97.5,6.83,22.34,31.61,17.35,81.79,1.5,89.68,91.57
202107,2021,7,16.5,-97.5,4.12,22.81,30.36,16.66,79.85,1.31,89.79,74.3
202108,2021,8,16.5,-97.5,6.36,22.12,29.9,17.63,84.73,1.37,89.73,84.13
202109,2021,9,16.5,-97.5,8.17,21.84,28.64,16.54,85.15,1.34,89.7,84.13
202110,2021,10,16.5,-97.5,2.49,22.06,28.44,16.75,83.93,1.25,89.69,61.03
202111,2021,11,16.5,-97.5,0.08,20.55,29.72,11.62,69.49,1.47,89.82,19.43
202112,2021,12,16.5,-97.5,0.0,21.8,31.56,13.21,66.35,1.51,89.78,16.55
202113,2021,13,16.5,-97.5,2.59,22.4,35.42,11.11,71.22,1.63,89.73,50.75
202201,2022,1,16.5,-97.5,0.38,21.43,32.12,13.48,64.02,1.84,89.82,23.86
202202,2022,2,16.5,-97.5,0.03,22.22,34.36,12.29,60.42,2.08,89.81,21.37
202203,2022,3,16.5,-97.5,0.03,23.52,35.36,13.11,55.42,2.11,89.74,20.54
202204,2022,4,16.5,-97.5,0.4,24.66,36.17,15.66,53.83,2.12,89.62,31.89
202205,2022,5,16.5,-97.5,0.97,24.78,36.89,16.86,58.49,2.09,89.62,57.97
202206,2022,6,16.5,-97.5,4.29,22.55,31.11,17.77,77.84,1.6,89.64,86.09
202207,2022,7,16.5,-97.5,5.41,23.25,31.79,17.99,76.98,1.42,89.75,77.25
202208,2022,8,16.5,-97.5,4.83,22.38,30.12,17.23,81.85,1.31,89.72,81.28
202209,2022,9,16.5,-97.5,10.22,21.77,28.17,15.31,85.61,1.36,89.58,89.19
202210,2022,10,16.5,-97.5,2.73,21.73,28.76,15.88,83.4,1.37,89.7,62.49
202211,2022,11,16.5,-97.5,0.31,21.51,28.79,14.73,79.98,1.31,89.72,41.04
202212,2022,12,16.5,-97.5,0.02,20.91,30.53,13.14,64.98,1.68,89.8,23.35
202213,2022,13,16.5,-97.5,2.47,22.56,36.89,12.29,70.27,1.69,89.71,51.49
202301,2023,1,16.5,-97.5,0.0,21.6,31.96,12.16,61.28,1.82,89.83,21.72
202302,2023,2,16.5,-97.5,0.0,22.49,33.48,13.46,57.76,2.15,89.79,26.59
202303,2023,3,16.5,-97.5,0.08,23.39,35.25,15.63,60.25,2.11,89.73,23.23
202304,2023,4,16.5,-97.5,0.3,24.67,35.72,15.65,60.46,2.19,89.64,32.55
202305,2023,5,16.5,-97.5,1.26,26.02,38.23,19.54,61.54,2.02,89.66,54.85
202306,2023,6,16.5,-97.5,4.26,24.9,35.21,17.81,73.35,1.85,89.61,64.69
202307,2023,7,16.5,-97.5,3.33,23.98,33.1,17.26,75.48,1.39,89.77,76.57
202308,2023,8,16.5,-97.5,4.84,24.02,32.13,17.66,77.09,1.39,89.7,78.39
202309,2023,9,16.5,-97.5,2.43,23.8,32.23,18.03,78.45,1.35,89.68,62.88
202310,2023,10,16.5,-97.5,4.17,22.85,31.78,16.05,80.11,1.5,89.6,78.16
202311,2023,11,16.5,-97.5,2.09,23.02,32.04,15.24,71.61,1.79,89.67,50.78
202312,2023,12,16.5,-97.5,0.05,21.75,32.04,9.74,60.93,1.83,89.76,39.8
202313,2023,13,16.5,-97.5,1.91,23.54,38.23,9.74,68.25,1.78,89.7,51.03
202401,2024,1,16.5,-97.5,0.03,22.55,33.27,14.31,60.85,1.82,89.81,28.32
202402,2024,2,16.5,-97.5,0.12,22.86,35.59,12.66,62.82,2.06,89.77,28.93
202403,2024,3,16.5,-97.5,0.16,24.28,36.16,14.48,53.01,2.03,89.7,15.75
202404,2024,4,16.5,-97.5,0.24,25.73,36.69,18.07,52.13,2.25,89.7,21.31
202405,2024,5,16.5,-97.5,0.35,26.65,37.78,19.32,56.64,2.26,89.56,44.5
202406,2024,6,16.5,-97.5,5.44,24.01,36.73,17.19,73.8,2.07,89.55,84.45
202407,2024,7,16.5,-97.5,5.08,23.63,31.73,17.65,78.11,1.3,89.76,76.3
202408,2024,8,16.5,-97.5,4.89,23.25,29.59,18.12,81.9,1.29,89.82,81.3
202409,2024,9,16.5,-97.5,18.38,22.67,29.13,18.17,87.59,1.39,89.56,88.35
202410,2024,10,16.5,-97.5,4.96,21.66,28.52,12.7,81.13,1.3,89.71,62.1
202411,2024,11,16.5,-97.5,0.59,21.07,28.16,10.18,81.25,1.33,89.65,39.66
202412,2024,12,16.5,-97.5,0.17,20.14,29.61,12.16,66.88,1.59,89.85,32.0
202413,2024,13,16.5,-97.5,3.35,23.21,37.78,10.18,69.67,1.72,89.7,50.27
